ACADRE_EFTERNAVN;ADKonto;Name;Surname;ADWorkZoneAfdelingsgruppe;ADWorkZoneRolle;
KCVIR-VIS;VIR-VISITATIONEN;VIR-VISITATIONEN Virtuel bruger;VIR-VISITATIONEN;STPK_Visitation;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-JUR;VIR-JUR;VIR-JUR Virtuel bruger;VIR-JUR;STPK_Visitation;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-TVANG;KCVIR-TVANG;KCVIR-TVANG Virtuel bruger;KCVIR-TVANG;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-TAND-VUR;KCVIR-TAND-VUR;KCVIR-TAND-VUR Virtuel bruger;KCVIR-TAND-VUR;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-TAND-MAT;KCVIR-TAND-MAT;KCVIR-TAND-MAT Virtuel bruger;KCVIR-TAND-MAT;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-TAND2;KCVIR-TAND2;KCVIR-TAND2 Virtuel bruger;KCVIR-TAND2;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIRTAND;KCVIR-TAND;KCVIR-TAND Virtuel bruger;KCVIR-TAND;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T9;KCVIR-T9;KCVIR-T9 Virtuel bruger;KCVIR-T9;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T8_AAR;KCVIR-T8_FS;KCVIR-T8_FS Virtuel bruger;KCVIR-T8_FS;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T8;KCVIR-T8;KCVIR-T8 Virtuel bruger;KCVIR-T8;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T7;KCVIR-T7;KCVIR-T7 Virtuel bruger;KCVIR-T7;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T6;KCVIR-T6;KCVIR-T6 Virtuel bruger;KCVIR-T6;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T5;KCVIR-T5;KCVIR-T5 Virtuel bruger;KCVIR-T5;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T4;KCVIR-T4;KCVIR-T4 Virtuel bruger;KCVIR-T4;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T3;KCVIR-T3;KCVIR-T3 Virtuel bruger;KCVIR-T3;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
KCVIR-T2;KCVIR-T2;KCVIR-T2 Virtuel bruger ;KCVIR-T2;STPK_Center for Behandlingsklager;ESDH1_Koncern_Captia_1_Visitor_NoSee;
