"Computernavn";"Bruger";"Status"
"SST09972.sst.dk";"SST.DK\abv";"Kunne ikke pinge computeren"
"SST09925.sst.dk";"SST.DK\milj";"Kunne ikke pinge computeren"
"SST09530.sst.dk";"SST.DK\gbu";"Kunne ikke finde bruger"
"SST09530.sst.dk";"SST.DK\lepe";"Kunne ikke finde bruger"
"SST09898.sst.dk";"SST.DK\aah";"Kunne ikke finde bruger"
"SST09974.sst.dk";"SST.DK\HLH";"Kunne ikke pinge computeren"
"SST09828.sst.dk";"SST.DK\kjm";"Kunne ikke finde bruger"
"SST09826.sst.dk";"SST.DK\asla";"Kunne ikke finde bruger"
"SST09746.sst.dk";"SST.DK\KAP";"Kunne ikke finde bruger"
"SST09746.sst.dk";"SST.DK\lpe";"Kunne ikke finde bruger"
"SST09844.sst.dk";"SST.DK\lea";"Kunne ikke finde bruger"
"SST09834.sst.dk";"SST.DK\ile";"Kunne ikke finde bruger"
"SST09840.sst.dk";"SST.DK\jasve";"Kunne ikke pinge computeren"
"SST09840.sst.dk";"SST.DK\RIWS";"Kunne ikke pinge computeren"
"SS09758.sst.dk";"SST.DK\LLP";"Kunne ikke finde bruger"
"SST09847.sst.dk";"SST.DK\CHC";"Kunne ikke pinge computeren"
"SST09614.sst.dk";"SST.DK\SFK";"Kunne ikke finde bruger"
"SST09785.sst.dk";"SST.DK\lokaladm";"Kunne ikke finde bruger"
"SST09599.sst.dk";"SST.DK\ajeo";"Kunne ikke finde bruger"
"SST09957.sst.dk";"SST.DK\HAR";
"SST00304.sst.dk";"SST.DK\Bio";
"SST01041.sst.dk";"SST.DK\KAP";"Kunne ikke pinge computeren"
"SST01060.sst.dk";"SST.DK\kabj";"Kunne ikke finde bruger"
"SST09827.sst.dk";"SST.DK\chkr";"Kunne ikke finde bruger"
"SST09862.sst.dk";"SST.DK\JAO";
"SST09956.sst.dk";"SST.DK\lokaladm";"Kunne ikke finde bruger"
"SST09745.sst.dk";"SST.DK\xjeaa";"Kunne ikke pinge computeren"
"SST07164.sst.dk";"SST.DK\pey";"Kunne ikke pinge computeren"
"SST09981.sst.dk";"SST.DK\aipa";"OK"
"SST05910.sst.dk";"SST.DK\pey";
"SST05910.sst.dk";"SST.DK\pmm";
"SST09980.sst.dk";"SST.DK\LEA";"Kunne ikke pinge computeren"
"SST09763.sst.dk";"SST.DK\pes";"Kunne ikke finde bruger"
"SST003743.sst.dk";"SST.DK\sech";"Kunne ikke finde bruger"
"SST003868.sst.dk";"SST.DK\pey";"Kunne ikke finde bruger"
"SST004131.sst.dk";"SST.DK\pkfr";
"SST01084.sst.dk";"SST.DK\tio";"Kunne ikke finde bruger"
"SST004438.sst.dk";"SST.DK\dsvg";"Kunne ikke finde bruger"
"SST004463.sst.dk";"SST.DK\rmj";"Kunne ikke finde bruger"
"SST004467.sst.dk";"SST.DK\jpst";"Kunne ikke pinge computeren"
"SST004855.sst.dk";"SST.DK\jasve";"Kunne ikke finde bruger"
"SST09889.sst.dk";"SST.DK\suab";"Kunne ikke pinge computeren"
"SST09967.sst.dk";"SST.DK\hah";"Kunne ikke pinge computeren"
