Computernavn,Bruger
SST09972.sst.dk,SST.DK\abv
SST09925.sst.dk,SST.DK\milj
SST09530.sst.dk,SST.DK\gbu
SST09530.sst.dk,SST.DK\lepe
SST09898.sst.dk,SST.DK\aah
SST09974.sst.dk,SST.DK\HLH
SST09828.sst.dk,SST.DK\kjm
SST09826.sst.dk,SST.DK\asla
SST09746.sst.dk,SST.DK\KAP
SST09746.sst.dk,SST.DK\lpe
SST09844.sst.dk,SST.DK\lea
SST09834.sst.dk,SST.DK\ile
SST09840.sst.dk,SST.DK\jasve
SST09840.sst.dk,SST.DK\RIWS
SS09758.sst.dk,SST.DK\LLP
SST09847.sst.dk,SST.DK\CHC
SST09614.sst.dk,SST.DK\SFK
SST09785.sst.dk,SST.DK\lokaladm
SST09599.sst.dk,SST.DK\ajeo
SST09957.sst.dk,SST.DK\HAR
SST00304.sst.dk,SST.DK\Bio
SST01041.sst.dk,SST.DK\KAP
SST01060.sst.dk,SST.DK\kabj
SST09827.sst.dk,SST.DK\chkr
SST09862.sst.dk,SST.DK\JAO
SST09956.sst.dk,SST.DK\lokaladm
SST09745.sst.dk,SST.DK\xjeaa
SST07164.sst.dk,SST.DK\pey
SST09981.sst.dk,SST.DK\aipa
SST05910.sst.dk,SST.DK\pey
SST05910.sst.dk,SST.DK\pmm
SST09980.sst.dk,SST.DK\LEA
SST09763.sst.dk,SST.DK\pes
SST003743.sst.dk,SST.DK\sech
SST003868.sst.dk,SST.DK\pey
SST004131.sst.dk,SST.DK\pkfr
SST01084.sst.dk,SST.DK\tio
SST004438.sst.dk,SST.DK\dsvg
SST004463.sst.dk,SST.DK\rmj
SST004467.sst.dk,SST.DK\jpst
SST004855.sst.dk,SST.DK\jasve
SST09889.sst.dk,SST.DK\suab
SST09967.sst.dk,SST.DK\hah


















































































