Computer Name,Bruger
SST09482.sst.dk,lokaladm
SST09482.sst.dk,SST.DK\OIM_lokaladm
SST09482.sst.dk,SST.DK\SSI_lokaladm
SST09773.sst.dk,SST.DK\cdhe
SST09783.sst.dk,SST.DK\SIS_lokaladm
SST09965.sst.dk,SST.DK\pey
SST09972.sst.dk,SST.DK\abv
SST09425.sst.dk,SST.DK\pkfr
SST09425.sst.dk,SST.DK\SIS_lokaladm
SST09530.sst.dk,SST.DK\lepe
SST09530.sst.dk,SST.DK\SIS_lokaladm
SST01097.sst.dk,Henrik
SST09759.sst.dk,SST.DK\HIB
SST09794.sst.dk,SST.DK\adm-kiap
SST09534.sst.dk,SST.DK\bja
SST09534.sst.dk,SST.DK\SIS_lokaladm
SST09970.sst.dk,SST.DK\simo
SST01079.sst.dk,SST.DK\uftj
SST09797.sst.dk,SST.DK\bhp
SST09600.sst.dk,SST.DK\brh
SST01052.sst.dk,SST.DK\smst
SST09868.sst.dk,SST.DK\mali
SST09955.sst.dk,SST.DK\havi
SST09950.sst.dk,SST.DK\tuk
SST01036.sst.dk,SST.DK\dht
SST09822.sst.dk,SST.DK\apo
SST01062.sst.dk,SST.DK\dahe
00216.sst.dk,SST.DK\suja
SST09599.sst.dk,SST.DK\sita
SST09533.sst.dk,SST.DK\SIS_lokaladm
SST09941.sst.dk,SST.DK\ruha
SST09871.sst.dk,SST.DK\pkfr
00313.sst.dk,SST.DK\SAB
SST09945.sst.dk,SST.DK\hwa
SST09902.sst.dk,SST.DK\asp
SST09343.sst.dk,SST.DK\TIBI
00321.sst.dk,SST.DK\AJK
SST09580.sst.dk,SST.DK\ANM
SST09765.sst.dk,SST.DK\hro
SST09748.sst.dk,SST.DK\jkr
SST09503.sst.dk,SST.DK\mmal
SST01041.sst.dk,SST.DK\SST_Captia_Skanning
SST09517.sst.dk,S-1-5-21-1142715587-1998998323-1238779560-23352
SST09517.sst.dk,SST.DK\krb
SST09880.sst.dk,SST.DK\lhj
SST09906.sst.dk,SST.DK\jubh
SST09380.sst.dk,SST.DK\kiha
SST09920.sst.dk,SST.DK\casg
00240.sst.dk,SST.DK\VTH
SST09745.sst.dk,SST.DK\xjeaa
SST09730.sst.dk,SST.DK\emtn
SST09584.sst.dk,SST.DK\SIS_lokaladm
SST09870.sst.dk,SST.DK\brit
SST09837.sst.dk,SST.DK\GHO
SST09529.sst.dk,SST.DK\SIS_lokaladm
SST09522.sst.dk,SST.DK\SIS_lokaladm
SST07164.sst.dk,Admin
SST07164.sst.dk,SST.DK\pey
SST09872.sst.dk,SST.DK\hro
SST09981.sst.dk,SST.DK\aipa
SST09981.sst.dk,SST.DK\SIS_lokaladm
SST05910.sst.dk,SST.DK\pey
SST05910.sst.dk,SST.DK\pmm
SST05910.sst.dk,SST.DK\SIS_lokaladm
SST09508.sst.dk,SST.DK\LIS
SST09508.sst.dk,SST.DK\Test1-sjp11
SST09848.sst.dk,SST.DK\beb
SSTCAPREFPC.sst.dk,image
SSTCAPREFPC.sst.dk,SST.DK\captiasys2
SSTCAPREFPC.sst.dk,SST.DK\SST_Captia_ScanJourAdmin
SSTCAPREFPC.sst.dk,SST.DK\test2-sjp11
SSTCAPREFPC.sst.dk,SST.DK\test3-sjp11
SST003787.sst.dk,SST.DK\kad
