Computernavn,Bruger
SST09972.sst.dk,SST.DK\abv
SST09530.sst.dk,SST.DK\lepe
SST09530.sst.dk,SST.DK\SIS_lokaladm
SST01097.sst.dk,Henrik
SST09534.sst.dk,SST.DK\bja
SST09534.sst.dk,SST.DK\SIS_lokaladm
SST01079.sst.dk,SST.DK\uftj
SST09797.sst.dk,SST.DK\bhp
SST09600.sst.dk,SST.DK\brh
SST01052.sst.dk,SST.DK\smst
SST09955.sst.dk,SST.DK\havi
SST09822.sst.dk,SST.DK\apo
SST01062.sst.dk,SST.DK\dahe
00216.sst.dk,SST.DK\suja
SST09599.sst.dk,SST.DK\sita
SST09941.sst.dk,SST.DK\ruha
00313.sst.dk,SST.DK\SAB
SST09945.sst.dk,SST.DK\hwa
SST09902.sst.dk,SST.DK\asp
SST09765.sst.dk,SST.DK\hro
SST09748.sst.dk,SST.DK\jkr
SST01041.sst.dk,SST.DK\SST_Captia_Skanning
SST09880.sst.dk,SST.DK\lhj
SST09745.sst.dk,SST.DK\xjeaa
SST09837.sst.dk,SST.DK\GHO
SST07164.sst.dk,Admin
SST07164.sst.dk,SST.DK\pey
SST09872.sst.dk,SST.DK\hro
SST09981.sst.dk,SST.DK\aipa
SST09981.sst.dk,SST.DK\SIS_lokaladm
SST05910.sst.dk,SST.DK\pey
SST05910.sst.dk,SST.DK\pmm
SST05910.sst.dk,SST.DK\SIS_lokaladm
SST09508.sst.dk,SST.DK\LIS
SST09508.sst.dk,SST.DK\Test1-sjp11
